block_id,block_date,corridor_id,section_id,start_time,end_time,duration_minutes,block_type,approval_status,capacity_level
BLK00001,2026-09-14,C1,S04,2026-09-14 00:00:00,2026-09-14 03:00:00,180,Traffic Block,Pending,Partial
BLK00002,2026-09-14,C1,S08,2026-09-14 03:00:00,2026-09-14 06:00:00,180,Traffic Block,Approved,Full
BLK00003,2026-09-14,C1,S18,2026-09-14 10:00:00,2026-09-14 13:00:00,180,Traffic Block,Pending,Partial
BLK00004,2026-09-14,C1,S02,2026-09-14 13:00:00,2026-09-14 16:00:00,180,Traffic Block,Approved,Full
BLK00005,2026-09-14,C1,S08,2026-09-14 22:00:00,2026-09-15 00:00:00,120,Engineering Block,Pending,Full
BLK00006,2026-09-14,C2,S18,2026-09-14 00:00:00,2026-09-14 03:00:00,180,Traffic Block,Pending,Partial
BLK00007,2026-09-14,C2,S08,2026-09-14 03:00:00,2026-09-14 06:00:00,180,Power Block,Pending,Partial
BLK00008,2026-09-14,C2,S01,2026-09-14 10:00:00,2026-09-14 13:00:00,180,Traffic Block,Pending,Partial
BLK00009,2026-09-14,C2,S11,2026-09-14 13:00:00,2026-09-14 16:00:00,180,Power Block,Approved,Full
BLK00010,2026-09-14,C2,S11,2026-09-14 22:00:00,2026-09-15 00:00:00,120,Traffic Block,Approved,Partial
BLK00011,2026-09-14,C3,S04,2026-09-14 00:00:00,2026-09-14 03:00:00,180,Power Block,Approved,Partial
BLK00012,2026-09-14,C3,S02,2026-09-14 03:00:00,2026-09-14 06:00:00,180,Engineering Block,Approved,Full
BLK00013,2026-09-14,C3,S13,2026-09-14 10:00:00,2026-09-14 13:00:00,180,Traffic Block,Pending,Partial
BLK00014,2026-09-14,C3,S20,2026-09-14 13:00:00,2026-09-14 16:00:00,180,Power Block,Pending,Full
BLK00015,2026-09-14,C3,S03,2026-09-14 22:00:00,2026-09-15 00:00:00,120,Traffic Block,Pending,Full
BLK00016,2026-09-14,C4,S10,2026-09-14 00:00:00,2026-09-14 03:00:00,180,Traffic Block,Approved,Full
BLK00017,2026-09-14,C4,S13,2026-09-14 03:00:00,2026-09-14 06:00:00,180,Power Block,Approved,Partial
BLK00018,2026-09-14,C4,S06,2026-09-14 10:00:00,2026-09-14 13:00:00,180,Power Block,Approved,Full
BLK00019,2026-09-14,C4,S09,2026-09-14 13:00:00,2026-09-14 16:00:00,180,Engineering Block,Pending,Full
BLK00020,2026-09-14,C4,S20,2026-09-14 22:00:00,2026-09-15 00:00:00,120,Engineering Block,Approved,Full
