bundle_id,task_ids,task_count,corridor_id,section_id,required_block_type,combined_duration_minutes,total_priority_score
BUNDLE_0001,T0181|T0166,2,C1,SEC_A_B,Engineering Block,165,639.5
BUNDLE_0002,T0070|T0155,2,C1,SEC_A_B,OHE Block,180,796.84
BUNDLE_0003,T0070|T0112,2,C1,SEC_A_B,OHE Block,150,708.98
BUNDLE_0004,T0231|T0064,2,C1,SEC_B_C,Engineering Block,110,303.06
BUNDLE_0005,T0231|T0079,2,C1,SEC_B_C,Engineering Block,170,302.72
BUNDLE_0006,T0251|T0053,2,C1,SEC_B_C,Engineering Block,160,170.07
BUNDLE_0007,T0189|T0139,2,C1,SEC_C_D,Engineering Block,170,1028.4
BUNDLE_0008,T0189|T0250,2,C1,SEC_C_D,Engineering Block,150,573.2
BUNDLE_0009,T0280|T0024,2,C1,SEC_C_D,OHE Block,180,845.48
BUNDLE_0010,T0024|T0016,2,C1,SEC_C_D,OHE Block,180,601.95
BUNDLE_0011,T0024|T0175,2,C1,SEC_C_D,OHE Block,180,463.97
BUNDLE_0012,T0272|T0207,2,C1,SEC_C_D,OHE Block,105,251.52
BUNDLE_0013,T0095|T0207,2,C1,SEC_C_D,OHE Block,135,43.28
BUNDLE_0014,T0298|T0054,2,C1,SEC_C_D,Signal Block,150,149.68
BUNDLE_0015,T0241|T0108,2,C1,SEC_D_E,Engineering Block,120,579.96
BUNDLE_0016,T0193|T0108,2,C1,SEC_D_E,Engineering Block,125,423.83
BUNDLE_0017,T0091|T0023,2,C1,SEC_D_E,Engineering Block,150,101.46
BUNDLE_0018,T0033|T0023,2,C1,SEC_D_E,Engineering Block,165,41.06
BUNDLE_0019,T0176|T0234,2,C1,SEC_D_E,OHE Block,120,871.61
BUNDLE_0020,T0234|T0299,2,C1,SEC_D_E,OHE Block,120,413.29
BUNDLE_0021,T0234|T0188,2,C1,SEC_D_E,OHE Block,135,304.13
BUNDLE_0022,T0113|T0114,2,C1,SEC_D_E,Signal Block,115,945.59
BUNDLE_0023,T0116|T0214,2,C1,SEC_D_E,Signal Block,115,535.51
BUNDLE_0024,T0116|T0177,2,C1,SEC_D_E,Signal Block,115,299.08
BUNDLE_0025,T0002|T0110,2,C1,SEC_E_F,Engineering Block,120,244.39
BUNDLE_0026,T0096|T0267,2,C1,SEC_E_F,Engineering Block,150,164.43
BUNDLE_0027,T0132|T0267,2,C1,SEC_E_F,Engineering Block,115,144.42
BUNDLE_0028,T0110|T0083,2,C1,SEC_E_F,Engineering Block,165,55.39
BUNDLE_0029,T0201|T0244,2,C1,SEC_E_F,Engineering Block,170,46.46
BUNDLE_0030,T0201|T0267,2,C1,SEC_E_F,Engineering Block,95,43.96
BUNDLE_0031,T0277|T0198,2,C1,SEC_E_F,OHE Block,135,572.33
BUNDLE_0032,T0169|T0284,2,C1,SEC_E_F,OHE Block,135,379.79
BUNDLE_0033,T0041|T0198,2,C1,SEC_E_F,OHE Block,150,255.31
BUNDLE_0034,T0037|T0198,2,C1,SEC_E_F,OHE Block,135,238.04
BUNDLE_0035,T0092|T0198,2,C1,SEC_E_F,OHE Block,165,194.42
BUNDLE_0036,T0269|T0198,2,C1,SEC_E_F,OHE Block,135,142.07
BUNDLE_0037,T0125|T0245,2,C1,SEC_F_G,Engineering Block,110,951.16
BUNDLE_0038,T0125|T0270,2,C1,SEC_F_G,Engineering Block,105,690.1
BUNDLE_0039,T0125|T0097,2,C1,SEC_F_G,Engineering Block,170,511.14
BUNDLE_0040,T0125|T0192,2,C1,SEC_F_G,Engineering Block,125,508.52
BUNDLE_0041,T0075|T0121,2,C1,SEC_F_G,OHE Block,180,284.36
BUNDLE_0042,T0149|T0085,2,C1,SEC_G_H,Engineering Block,180,515.82
BUNDLE_0043,T0138|T0238,2,C1,SEC_G_H,Engineering Block,180,179.72
BUNDLE_0044,T0209|T0288,2,C1,SEC_G_H,Signal Block,180,1087.59
BUNDLE_0045,T0209|T0196,2,C1,SEC_G_H,Signal Block,115,660.05
BUNDLE_0046,T0209|T0063,2,C1,SEC_G_H,Signal Block,135,588.96
BUNDLE_0047,T0288|T0043,2,C1,SEC_G_H,Signal Block,140,735.66
BUNDLE_0048,T0043|T0196,2,C1,SEC_G_H,Signal Block,80,308.12
BUNDLE_0049,T0043|T0063,2,C1,SEC_G_H,Signal Block,95,237.03
BUNDLE_0050,T0252|T0281,2,C1,SEC_H_I,Signal Block,165,783.85
BUNDLE_0051,T0018|T0281,2,C1,SEC_H_I,Signal Block,165,760.99
BUNDLE_0052,T0101|T0031,2,C1,SEC_H_I,Signal Block,165,568.3
BUNDLE_0053,T0281|T0118,2,C1,SEC_H_I,Signal Block,165,342.28
BUNDLE_0054,T0171|T0031,2,C1,SEC_H_I,Signal Block,170,433.45
