forecast_id,forecast_date,corridor_id,expected_goods_trains,expected_tonnage,peak_goods_window,demand_level
FC00001,2026-09-14,C1,28,25592,06:00-09:00,High
FC00002,2026-09-14,C2,31,33511,09:00-12:00,High
FC00003,2026-09-14,C3,15,14130,21:00-00:00,Medium
FC00004,2026-09-14,C4,11,16412,21:00-00:00,Low
FC00005,2026-09-14,C5,25,22225,18:00-21:00,High
FC00006,2026-09-15,C1,21,17472,06:00-09:00,Medium
FC00007,2026-09-15,C2,10,10230,09:00-12:00,Low
FC00008,2026-09-15,C3,24,33984,06:00-09:00,Medium
FC00009,2026-09-15,C4,25,25075,21:00-00:00,High
FC00010,2026-09-15,C5,28,42504,18:00-21:00,High
FC00011,2026-09-16,C1,21,21525,15:00-18:00,Medium
FC00012,2026-09-16,C2,26,28184,06:00-09:00,High
FC00013,2026-09-16,C3,32,52000,09:00-12:00,High
FC00014,2026-09-16,C4,30,36960,12:00-15:00,High
FC00015,2026-09-16,C5,16,15344,09:00-12:00,Medium
FC00016,2026-09-17,C1,32,36608,06:00-09:00,High
FC00017,2026-09-17,C2,10,11890,06:00-09:00,Low
FC00018,2026-09-17,C3,19,31673,12:00-15:00,Medium
FC00019,2026-09-17,C4,27,28890,06:00-09:00,High
FC00020,2026-09-17,C5,31,39370,18:00-21:00,High
FC00021,2026-09-18,C1,11,19756,15:00-18:00,Low
FC00022,2026-09-18,C2,10,13650,12:00-15:00,Low
FC00023,2026-09-18,C3,34,49062,18:00-21:00,High
FC00024,2026-09-18,C4,35,40950,18:00-21:00,High
FC00025,2026-09-18,C5,14,21294,06:00-09:00,Low
FC00026,2026-09-19,C1,9,13293,09:00-12:00,Low
FC00027,2026-09-19,C2,32,35072,06:00-09:00,High
FC00028,2026-09-19,C3,35,36330,06:00-09:00,High
FC00029,2026-09-19,C4,20,21680,15:00-18:00,Medium
FC00030,2026-09-19,C5,28,46312,12:00-15:00,High
FC00031,2026-09-20,C1,13,15327,12:00-15:00,Low
FC00032,2026-09-20,C2,14,20804,12:00-15:00,Low
FC00033,2026-09-20,C3,30,52770,21:00-00:00,High
FC00034,2026-09-20,C4,28,24444,18:00-21:00,High
FC00035,2026-09-20,C5,28,27300,18:00-21:00,High
FC00036,2026-09-21,C1,31,32550,09:00-12:00,High
FC00037,2026-09-21,C2,22,26136,12:00-15:00,Medium
