task_id,asset_id,corridor_id,planning_corridor_id,section_id,planning_section_id,maintenance_type,required_block_type,priority_score,priority_level,estimated_duration_minutes,duration_buffer_minutes,planning_duration_minutes,block_id,block_date,start_time,end_time,block_duration_minutes,block_type,approval_status,status
T0211,TRD_016,CORR_01,C1,SEC_C_D,S03,Corrective,OHE Block,599.17,Urgent,120,10,130,BLK00501,2026-10-04,2026-10-04 00:00:00,2026-10-04 03:00:00,180,Power Block,Approved,Scheduled
T0209,S&T_018,CORR_01,C1,SEC_G_H,S07,Preventive,Signal Block,568.6,Urgent,75,10,85,BLK00151,2026-09-20,2026-09-20 00:00:00,2026-09-20 03:00:00,180,Traffic Block,Approved,Scheduled
T0197,S&T_061,CORR_01,C1,SEC_A_B,S01,Preventive,Signal Block,564.38,Urgent,90,20,110,BLK00628,2026-10-09,2026-10-09 10:00:00,2026-10-09 13:00:00,180,Traffic Block,Approved,Scheduled
T0241,ENG_010,CORR_01,C1,SEC_D_E,S04,Corrective,Engineering Block,558.32,Urgent,30,30,60,BLK00178,2026-09-21,2026-09-21 10:00:00,2026-09-21 13:00:00,180,Engineering Block,Approved,Scheduled
T0073,S&T_058,CORR_01,C1,SEC_H_I,S08,Corrective,Signal Block,542.14,Urgent,90,15,105,BLK00105,2026-09-18,2026-09-18 22:00:00,2026-09-19 00:00:00,120,Traffic Block,Approved,Scheduled
T0252,S&T_018,CORR_01,C1,SEC_H_I,S08,Preventive,Signal Block,527.93,Urgent,75,15,90,BLK00630,2026-10-09,2026-10-09 22:00:00,2026-10-10 00:00:00,120,Traffic Block,Approved,Scheduled
T0204,S&T_076,CORR_01,C1,SEC_F_G,S06,Corrective,Signal Block,524.65,Urgent,120,30,150,BLK00376,2026-09-29,2026-09-29 00:00:00,2026-09-29 03:00:00,180,Traffic Block,Approved,Scheduled
T0288,S&T_008,CORR_01,C1,SEC_G_H,S07,Corrective,Signal Block,518.99,Urgent,90,15,105,BLK00529,2026-10-05,2026-10-05 13:00:00,2026-10-05 16:00:00,180,Traffic Block,Approved,Scheduled
T0158,TRD_022,CORR_01,C1,SEC_G_H,S07,Corrective,OHE Block,506.86,Urgent,90,20,110,BLK00201,2026-09-22,2026-09-22 00:00:00,2026-09-22 03:00:00,180,Power Block,Approved,Scheduled
T0280,TRD_076,CORR_01,C1,SEC_C_D,S03,Corrective,OHE Block,502.37,Urgent,60,10,70,BLK00255,2026-09-24,2026-09-24 22:00:00,2026-09-25 00:00:00,120,Power Block,Approved,Scheduled
T0113,S&T_073,CORR_01,C1,SEC_D_E,S04,Inspection,Signal Block,498.04,Urgent,30,10,40,BLK00526,2026-10-05,2026-10-05 00:00:00,2026-10-05 03:00:00,180,Traffic Block,Approved,Scheduled
T0114,S&T_046,CORR_01,C1,SEC_D_E,S04,Corrective,Signal Block,447.55,Urgent,75,10,85,BLK00526,2026-10-05,2026-10-05 00:00:00,2026-10-05 03:00:00,180,Traffic Block,Approved,Scheduled
T0233,TRD_017,CORR_01,C1,SEC_B_C,S02,Corrective,OHE Block,438.4,Urgent,30,30,60,BLK00405,2026-09-30,2026-09-30 22:00:00,2026-10-01 00:00:00,120,Power Block,Approved,Scheduled
T0218,S&T_051,CORR_01,C1,SEC_E_F,S05,Preventive,Signal Block,429.26,Urgent,120,30,150,BLK00329,2026-09-27,2026-09-27 13:00:00,2026-09-27 16:00:00,180,Traffic Block,Approved,Scheduled
T0043,S&T_059,CORR_01,C1,SEC_G_H,S07,Inspection,Signal Block,216.67,Urgent,30,20,50,BLK00529,2026-10-05,2026-10-05 13:00:00,2026-10-05 16:00:00,180,Traffic Block,Approved,Scheduled
T0182,S&T_068,CORR_01,C1,SEC_A_B,S01,Inspection,Signal Block,199.69,Urgent,75,30,105,BLK00276,2026-09-25,2026-09-25 00:00:00,2026-09-25 03:00:00,180,Traffic Block,Approved,Scheduled
T0062,S&T_001,CORR_01,C1,SEC_B_C,S02,Corrective,Signal Block,134.47,Urgent,150,10,160,BLK00228,2026-09-23,2026-09-23 10:00:00,2026-09-23 13:00:00,180,Traffic Block,Approved,Scheduled
T0032,S&T_038,CORR_01,C1,SEC_B_C,S02,Preventive,Signal Block,111.57,Urgent,150,20,170,BLK00004,2026-09-14,2026-09-14 13:00:00,2026-09-14 16:00:00,180,Traffic Block,Approved,Scheduled
T0196,S&T_058,CORR_01,C1,SEC_G_H,S07,Corrective,Signal Block,91.45,Urgent,30,10,40,BLK00151,2026-09-20,2026-09-20 00:00:00,2026-09-20 03:00:00,180,Traffic Block,Approved,Scheduled
T0108,ENG_064,CORR_01,C1,SEC_D_E,S04,Corrective,Engineering Block,21.64,Normal,60,20,80,BLK00178,2026-09-21,2026-09-21 10:00:00,2026-09-21 13:00:00,180,Engineering Block,Approved,Scheduled
