task_id,block_id,sequence_number,planned_start,planned_end,actual_start,actual_end,planning_duration_minutes,actual_duration_minutes,delay_minutes,status,disruption_type,failure_reason,replanning_required
T0032,BLK00004,1,2026-09-14 13:00:00,2026-09-14 16:00:00,2026-09-14 13:00:00,2026-09-14 15:50:00,170.0,170.0,0.0,Completed,,,False
T0073,BLK00105,1,2026-09-18 22:00:00,2026-09-19 00:00:00,2026-09-18 22:00:00,2026-09-18 23:45:00,105.0,105.0,0.0,Completed,,,False
T0196,BLK00151,1,2026-09-20 00:00:00,2026-09-20 03:00:00,2026-09-20 00:00:00,2026-09-20 00:40:00,40.0,40.0,0.0,Completed,,,False
T0209,BLK00151,2,2026-09-20 00:00:00,2026-09-20 03:00:00,2026-09-20 00:40:00,2026-09-20 02:05:00,85.0,85.0,40.0,Delayed,,Previous task caused a sequential delay,False
T0108,BLK00178,1,2026-09-21 10:00:00,2026-09-21 13:00:00,,,80.0,0.0,0.0,Blocked,Block Failure,Block BLK00178 became unavailable before task execution,True
T0241,BLK00178,2,2026-09-21 10:00:00,2026-09-21 13:00:00,,,60.0,0.0,0.0,Blocked,Block Failure,Block BLK00178 became unavailable before task execution,True
T0158,BLK00201,1,2026-09-22 00:00:00,2026-09-22 03:00:00,2026-09-22 00:00:00,2026-09-22 01:50:00,110.0,110.0,0.0,Completed,,,False
T0062,BLK00228,1,2026-09-23 10:00:00,2026-09-23 13:00:00,2026-09-23 10:00:00,2026-09-23 12:40:00,160.0,160.0,0.0,Completed,,,False
T0280,BLK00255,1,2026-09-24 22:00:00,2026-09-25 00:00:00,2026-09-24 22:00:00,2026-09-24 23:10:00,70.0,70.0,0.0,Completed,,,False
T0182,BLK00276,1,2026-09-25 00:00:00,2026-09-25 03:00:00,2026-09-25 00:00:00,2026-09-25 01:45:00,105.0,105.0,0.0,Completed,,,False
T0218,BLK00329,1,2026-09-27 13:00:00,2026-09-27 16:00:00,2026-09-27 13:00:00,2026-09-27 15:30:00,150.0,150.0,0.0,Completed,,,False
T0204,BLK00376,1,2026-09-29 00:00:00,2026-09-29 03:00:00,2026-09-29 00:00:00,2026-09-29 02:30:00,150.0,150.0,0.0,Completed,,,False
T0233,BLK00405,1,2026-09-30 22:00:00,2026-10-01 00:00:00,2026-09-30 22:00:00,2026-09-30 23:00:00,60.0,60.0,0.0,Completed,,,False
T0211,BLK00501,1,2026-10-04 00:00:00,2026-10-04 03:00:00,2026-10-04 00:00:00,2026-10-04 02:10:00,130.0,130.0,0.0,Completed,,,False
T0113,BLK00526,1,2026-10-05 00:00:00,2026-10-05 03:00:00,2026-10-05 00:00:00,2026-10-05 00:40:00,40.0,40.0,0.0,Completed,,,False
T0114,BLK00526,2,2026-10-05 00:00:00,2026-10-05 03:00:00,2026-10-05 00:40:00,2026-10-05 02:05:00,85.0,85.0,40.0,Delayed,,Previous task caused a sequential delay,False
T0043,BLK00529,1,2026-10-05 13:00:00,2026-10-05 16:00:00,2026-10-05 13:00:00,2026-10-05 13:50:00,50.0,50.0,0.0,Completed,,,False
T0288,BLK00529,2,2026-10-05 13:00:00,2026-10-05 16:00:00,2026-10-05 13:50:00,2026-10-05 15:35:00,105.0,105.0,50.0,Delayed,,Previous task caused a sequential delay,False
T0197,BLK00628,1,2026-10-09 10:00:00,2026-10-09 13:00:00,2026-10-09 10:00:00,2026-10-09 11:50:00,110.0,110.0,0.0,Completed,,,False
T0252,BLK00630,1,2026-10-09 22:00:00,2026-10-10 00:00:00,2026-10-09 22:00:00,2026-10-09 23:30:00,90.0,90.0,0.0,Completed,,,False
