movement_id,train_id,train_type,corridor_id,direction,scheduled_departure,scheduled_arrival,duration_minutes,speed_kmph,is_peak_period,operational_priority
MOV00001,TRN01001,Passenger,C1,DOWN,2026-09-14 07:15:00,2026-09-14 08:02:00,47,130,True,Medium
MOV00002,TRN01002,Passenger,C5,UP,2026-09-14 18:45:00,2026-09-14 19:19:00,34,45,True,Medium
MOV00003,TRN01003,Passenger,C2,UP,2026-09-14 16:00:00,2026-09-14 17:41:00,101,60,False,Medium
MOV00004,TRN01004,Superfast,C2,DOWN,2026-09-14 18:30:00,2026-09-14 20:43:00,133,45,True,High
MOV00005,TRN01005,Express,C4,DOWN,2026-09-14 08:15:00,2026-09-14 09:12:00,57,75,True,High
MOV00006,TRN01006,Passenger,C1,DOWN,2026-09-14 03:30:00,2026-09-14 05:48:00,138,75,False,Medium
MOV00007,TRN01007,Freight,C1,DOWN,2026-09-14 17:00:00,2026-09-14 19:28:00,148,90,True,Medium
MOV00008,TRN01008,Passenger,C5,DOWN,2026-09-14 20:30:00,2026-09-14 22:13:00,103,60,True,Medium
MOV00009,TRN01009,Passenger,C1,UP,2026-09-14 09:00:00,2026-09-14 11:19:00,139,60,True,Medium
MOV00010,TRN01010,Passenger,C4,DOWN,2026-09-14 14:30:00,2026-09-14 15:20:00,50,75,False,Medium
MOV00011,TRN01011,Freight,C2,DOWN,2026-09-14 22:00:00,2026-09-14 23:47:00,107,130,False,Medium
MOV00012,TRN01012,Express,C5,UP,2026-09-14 05:45:00,2026-09-14 07:03:00,78,75,False,High
MOV00013,TRN01013,Express,C3,UP,2026-09-14 07:00:00,2026-09-14 09:13:00,133,75,True,High
MOV00014,TRN01014,Superfast,C3,UP,2026-09-14 06:30:00,2026-09-14 07:27:00,57,130,False,High
MOV00015,TRN01015,Superfast,C4,DOWN,2026-09-14 04:30:00,2026-09-14 05:17:00,47,60,False,High
MOV00016,TRN01016,Freight,C5,DOWN,2026-09-14 18:45:00,2026-09-14 20:01:00,76,60,True,Medium
MOV00017,TRN01017,Express,C5,DOWN,2026-09-14 02:00:00,2026-09-14 04:20:00,140,45,False,High
MOV00018,TRN01018,Express,C2,DOWN,2026-09-14 19:00:00,2026-09-14 20:19:00,79,90,True,High
MOV00019,TRN01019,Superfast,C5,DOWN,2026-09-14 17:00:00,2026-09-14 18:57:00,117,130,True,High
MOV00020,TRN01020,Passenger,C5,DOWN,2026-09-14 20:30:00,2026-09-14 21:14:00,44,75,True,Medium
MOV00021,TRN02001,Superfast,C2,DOWN,2026-09-15 00:30:00,2026-09-15 02:04:00,94,60,False,High
MOV00022,TRN02002,Passenger,C3,UP,2026-09-15 04:30:00,2026-09-15 06:37:00,127,60,False,Medium
MOV00023,TRN02003,Passenger,C5,DOWN,2026-09-15 15:00:00,2026-09-15 15:44:00,44,75,False,Medium
MOV00024,TRN02004,Freight,C2,UP,2026-09-15 07:00:00,2026-09-15 07:40:00,40,130,True,Medium
MOV00025,TRN02005,Superfast,C1,UP,2026-09-15 04:45:00,2026-09-15 06:25:00,100,60,False,High
MOV00026,TRN02006,Freight,C5,DOWN,2026-09-15 06:15:00,2026-09-15 08:16:00,121,75,False,Medium
MOV00027,TRN02007,Superfast,C3,DOWN,2026-09-15 16:45:00,2026-09-15 17:30:00,45,60,False,High
MOV00028,TRN02008,Express,C1,DOWN,2026-09-15 00:15:00,2026-09-15 02:00:00,105,60,False,High
MOV00029,TRN02009,Passenger,C1,UP,2026-09-15 07:00:00,2026-09-15 09:25:00,145,45,True,Medium
MOV00030,TRN02010,Freight,C1,UP,2026-09-15 08:45:00,2026-09-15 09:42:00,57,110,True,Medium
MOV00031,TRN02011,Express,C5,DOWN,2026-09-15 07:45:00,2026-09-15 09:58:00,133,90,True,High
MOV00032,TRN02012,Express,C1,UP,2026-09-15 21:45:00,2026-09-15 23:00:00,75,90,False,High
MOV00033,TRN02013,Superfast,C4,UP,2026-09-15 21:00:00,2026-09-15 21:37:00,37,90,False,High
MOV00034,TRN02014,Freight,C1,UP,2026-09-15 06:15:00,2026-09-15 07:53:00,98,90,False,Medium
MOV00035,TRN02015,Express,C4,UP,2026-09-15 08:45:00,2026-09-15 09:46:00,61,45,True,High
MOV00036,TRN02016,Superfast,C5,UP,2026-09-15 01:00:00,2026-09-15 01:41:00,41,60,False,High
MOV00037,TRN02017,Express,C4,DOWN,2026-09-15 15:15:00,2026-09-15 17:35:00,140,90,False,High
MOV00038,TRN02018,Passenger,C2,DOWN,2026-09-15 00:45:00,2026-09-15 01:48:00,63,90,False,Medium
MOV00039,TRN02019,Freight,C4,DOWN,2026-09-15 04:15:00,2026-09-15 05:22:00,67,60,False,Medium
MOV00040,TRN02020,Passenger,C5,UP,2026-09-15 10:00:00,2026-09-15 10:36:00,36,110,False,Medium
MOV00041,TRN03001,Superfast,C5,UP,2026-09-16 01:00:00,2026-09-16 03:18:00,138,60,False,High
MOV00042,TRN03002,Passenger,C5,UP,2026-09-16 21:15:00,2026-09-16 22:36:00,81,45,False,Medium
MOV00043,TRN03003,Express,C5,UP,2026-09-16 19:00:00,2026-09-16 20:23:00,83,130,True,High
MOV00044,TRN03004,Freight,C3,UP,2026-09-16 21:30:00,2026-09-16 22:30:00,60,75,False,Medium
MOV00045,TRN03005,Superfast,C2,DOWN,2026-09-16 14:30:00,2026-09-16 16:58:00,148,45,False,High
MOV00046,TRN03006,Passenger,C4,UP,2026-09-16 02:15:00,2026-09-16 03:49:00,94,75,False,Medium
MOV00047,TRN03007,Express,C3,UP,2026-09-16 07:30:00,2026-09-16 08:36:00,66,60,True,High
MOV00048,TRN03008,Superfast,C5,DOWN,2026-09-16 19:00:00,2026-09-16 20:55:00,115,110,True,High
MOV00049,TRN03009,Freight,C1,UP,2026-09-16 08:00:00,2026-09-16 10:23:00,143,45,True,Medium
MOV00050,TRN03010,Express,C3,DOWN,2026-09-16 19:15:00,2026-09-16 21:16:00,121,75,True,High
MOV00051,TRN03011,Express,C3,DOWN,2026-09-16 08:00:00,2026-09-16 08:41:00,41,130,True,High
MOV00052,TRN03012,Superfast,C3,UP,2026-09-16 00:30:00,2026-09-16 02:38:00,128,60,False,High
MOV00053,TRN03013,Freight,C2,DOWN,2026-09-16 17:45:00,2026-09-16 19:26:00,101,45,True,Medium
MOV00054,TRN03014,Passenger,C1,UP,2026-09-16 17:00:00,2026-09-16 19:16:00,136,75,True,Medium
MOV00055,TRN03015,Express,C4,UP,2026-09-16 01:30:00,2026-09-16 02:46:00,76,45,False,High
MOV00056,TRN03016,Freight,C2,UP,2026-09-16 21:00:00,2026-09-16 22:15:00,75,110,False,Medium
MOV00057,TRN03017,Superfast,C5,UP,2026-09-16 07:15:00,2026-09-16 09:27:00,132,60,True,High
MOV00058,TRN03018,Superfast,C1,UP,2026-09-16 10:45:00,2026-09-16 12:57:00,132,130,False,High
MOV00059,TRN03019,Express,C3,UP,2026-09-16 22:00:00,2026-09-16 23:18:00,78,45,False,High
MOV00060,TRN03020,Superfast,C2,UP,2026-09-16 14:30:00,2026-09-16 15:39:00,69,60,False,High
MOV00061,TRN04001,Express,C1,UP,2026-09-17 12:30:00,2026-09-17 13:35:00,65,45,False,High
MOV00062,TRN04002,Freight,C3,DOWN,2026-09-17 21:30:00,2026-09-18 00:00:00,150,45,False,Medium
MOV00063,TRN04003,Passenger,C3,UP,2026-09-17 18:30:00,2026-09-17 19:04:00,34,45,True,Medium
MOV00064,TRN04004,Superfast,C3,DOWN,2026-09-17 13:00:00,2026-09-17 14:19:00,79,110,False,High
MOV00065,TRN04005,Express,C3,UP,2026-09-17 22:45:00,2026-09-17 23:15:00,30,110,False,High
MOV00066,TRN04006,Express,C3,DOWN,2026-09-17 02:30:00,2026-09-17 04:19:00,109,75,False,High
MOV00067,TRN04007,Passenger,C3,DOWN,2026-09-17 21:45:00,2026-09-17 22:56:00,71,90,False,Medium
MOV00068,TRN04008,Freight,C5,UP,2026-09-17 06:45:00,2026-09-17 08:40:00,115,90,False,Medium
MOV00069,TRN04009,Express,C5,DOWN,2026-09-17 12:00:00,2026-09-17 13:08:00,68,75,False,High
MOV00070,TRN04010,Express,C4,DOWN,2026-09-17 14:45:00,2026-09-17 16:11:00,86,130,False,High
MOV00071,TRN04011,Express,C5,DOWN,2026-09-17 05:00:00,2026-09-17 06:06:00,66,110,False,High
MOV00072,TRN04012,Freight,C1,UP,2026-09-17 21:30:00,2026-09-17 22:28:00,58,60,False,Medium
MOV00073,TRN04013,Express,C1,UP,2026-09-17 07:45:00,2026-09-17 09:33:00,108,45,True,High
MOV00074,TRN04014,Superfast,C4,UP,2026-09-17 22:45:00,2026-09-18 00:18:00,93,90,False,High
MOV00075,TRN04015,Express,C2,UP,2026-09-17 03:45:00,2026-09-17 04:43:00,58,60,False,High
