task_id,department,maintenance_type,condition_score,asset_age_years,failure_count_12m,overdue_days,safety_criticality,operational_criticality
TASK_0001,S&T,Signal Maintenance,22.0,11.0,1,7,High,Low
TASK_0002,S&T,Telecom Maintenance,91.4,3.5,3,0,Low,Low
TASK_0003,Engineering,Track Maintenance,60.4,1.1,1,81,High,High
TASK_0004,S&T,Interlocking Work,37.6,23.6,6,0,Low,High
TASK_0005,Electrical,Electrical Inspection,42.2,8.6,6,33,Low,Low
TASK_0006,Electrical,OHE Maintenance,48.7,13.8,2,0,High,Medium
TASK_0007,S&T,Signal Maintenance,97.8,15.1,4,27,High,High
TASK_0008,Electrical,Traction Work,35.4,2.8,5,19,Medium,Low
TASK_0009,Engineering,Track Maintenance,50.4,18.1,6,36,Low,Medium
TASK_0010,Electrical,OHE Maintenance,73.6,28.1,5,72,Low,High
TASK_0011,S&T,Signal Maintenance,62.7,9.8,3,38,Medium,High
TASK_0012,S&T,Telecom Maintenance,37.6,13.0,6,89,Low,Low
TASK_0013,Engineering,Track Inspection,52.1,2.6,4,81,Medium,Low
TASK_0014,S&T,Interlocking Work,51.7,36.6,3,8,Medium,Low
TASK_0015,Engineering,Civil Maintenance,64.9,10.5,4,44,High,Medium
TASK_0016,Electrical,OHE Maintenance,99.8,5.5,3,1,Low,Low
TASK_0017,Engineering,Civil Maintenance,32.8,27.2,4,0,Medium,Medium
TASK_0018,S&T,Interlocking Work,62.3,38.8,6,0,High,High
TASK_0019,Engineering,Civil Maintenance,90.8,30.0,6,72,Medium,Low
TASK_0020,Electrical,Electrical Inspection,32.7,0.1,5,82,Medium,High
TASK_0021,Engineering,Civil Maintenance,93.0,34.8,2,71,High,High
TASK_0022,Engineering,Track Maintenance,49.9,6.5,6,57,Low,High
TASK_0023,Electrical,Electrical Inspection,21.6,37.2,6,29,Low,Low
TASK_0024,Engineering,Civil Maintenance,95.8,3.4,3,0,High,Low
TASK_0025,Engineering,Civil Maintenance,58.0,22.0,2,57,High,Medium
TASK_0026,Engineering,Civil Maintenance,80.4,27.6,5,29,Medium,High
TASK_0027,S&T,Interlocking Work,55.0,20.7,0,21,Low,Low
TASK_0028,Electrical,OHE Maintenance,67.1,9.2,1,0,Low,High
TASK_0029,S&T,Signal Maintenance,38.3,36.2,6,32,Low,High
TASK_0030,Engineering,Track Inspection,73.5,8.6,1,82,High,High
